APARTMENT,T9_00,T9_15,9.30,9.45,10.00,10.15,10.30,10.45,11.00,11.15,11.30,11.45,12.00,12.15,12.30,12.45,1.00,1.15,1.30,1.45,2.00,2.15,2.30,2.45,3.00
2A -101 A,0,0
2A -101 B,23,24
MERGED,23,24
2A -102 A,10,24
2A -102 B,23,24
MERGED,10,24
2A -103 A,0,19
2A -103 B,0,0
MERGED,0,19
2A -104 A,0,19
2A -104 B,0,0
MERGED,0,19
2A -105,4,19
MERGED,4,19
2A -106,0,0
MERGED,0,0
2A -107,0,0
MERGED,0,0
2A -108,7,19
MERGED,7,19
2A -109 A,0,19
2A -109 B,0,0
MERGED,0,19
2A -110 A,0,21
2A -110 B,0,0
MERGED,0,21
2A -111 A,1,24
2A -111 B,0,18
MERGED,0,24
2A -112 A,0,0
2A -112 B,2,18
MERGED,2,18
2A -201 A,0,0
2A -201 B,24,24
MERGED,24,24
2A -202 A,10,24
2A -202 B,24,24
MERGED,10,24
2A -203 A,0,22
2A -203 B,0,0
MERGED,0,22
2A -204 A,0,22
2A -204 B,0,0
MERGED,0,22
2A -205,4,22
MERGED,4,22
2A -206,0,0
MERGED,0,0
2A -207,0,0
MERGED,0,0
2A -208,7,22
MERGED,7,22
2A -209 A,0,22
2A -209 B,0,0
MERGED,0,22
2A -210 A,0,23
2A -210 B,0,0
MERGED,0,23
2A -211 A,1,24
2A -211 B,0,18
MERGED,0,24
2A -212 A,0,0
2A -212 B,1,18
MERGED,1,18
2A -301 A,0,0
2A -301 B,23,24
MERGED,23,24
2A -302 A,10,24
2A -302 B,23,24
MERGED,10,24
2A -303 A,0,24
2A -303 B,23,24
MERGED,0,24
2A -304 A,0,24
2A -304 B,23,24
MERGED,0,24
2A -305,4,24
MERGED,4,24
2A -306,0,0
MERGED,0,0
2A -307,0,0
MERGED,0,0
2A -308,7,24
MERGED,7,24
2A -309 A,0,24
2A -309 B,23,24
MERGED,0,24
2A -310 A,0,24
2A -310 B,23,24
MERGED,0,24
2A -311 A,1,24
2A -311 B,0,18
MERGED,0,24
2A -312 A,0,0
2A -312 B,1,18
MERGED,1,18
2A -401 A,0,0
2A -401 B,24,24
MERGED,24,24
2A -402 A,10,24
2A -402 B,24,24
MERGED,10,24
2A -403 A,0,24
2A -403 B,23,24
MERGED,0,24
2A -404 A,0,24
2A -404 B,23,24
MERGED,0,24
2A -405,4,24
MERGED,4,24
2A -406,0,0
MERGED,0,0
2A -407,0,0
MERGED,0,0
2A -408,7,24
MERGED,7,24
2A -409 A,0,24
2A -409 B,23,24
MERGED,0,24
2A -410 A,0,24
2A -410 B,23,24
MERGED,0,24
2A -411 A,1,24
2A -411 B,0,18
MERGED,0,24
2A -412 A,0,0
2A -412 B,2,18
MERGED,2,18
2A -501 A,0,0
2A -501 B,24,24
MERGED,24,24
2A -502 A,10,24
2A -502 B,24,24
MERGED,10,24
2A -503 A,0,24
2A -503 B,23,24
MERGED,0,24
2A -504 A,0,24
2A -504 B,23,24
MERGED,0,24
2A -505,4,24
MERGED,4,24
2A -506,0,0
MERGED,0,0
2A -507,0,0
MERGED,0,0
2A -508,7,24
MERGED,7,24
2A -509 A,0,24
2A -509 B,23,24
MERGED,0,24
2A -510 A,0,24
2A -510 B,23,24
MERGED,0,24
2A -511 A,1,24
2A -511 B,0,18
MERGED,0,24
2A -512 A,0,0
2A -512 B,0,18
MERGED,0,18
2A -601,0,0
MERGED,0,0
2A -602 A,0,24
2A -602 B,22,24
MERGED,0,24
2A -603 A,0,24
2A -603 B,0,18
MERGED,0,24
2A -604,4,24
MERGED,4,24
2A -605,0,0
MERGED,0,0
2A -606,0,0
MERGED,0,0
2A -607,7,24
MERGED,7,24
2A -608 A,0,24
2A -608 B,23,24
MERGED,0,24
2A -609 A,0,24
2A -609 B,23,24
MERGED,0,24
2A -610 A,1,24
2A -610 B,0,18
MERGED,0,24
2A -611 A,0,0
2A -611 B,0,18
MERGED,0,18
2A -701 A,0,0
2A -701 B,22,24
MERGED,22,24
2A -702 A,5,24
2A -702 B,22,24
MERGED,5,24
2A -703 A,0,24
2A -703 B,0,19
MERGED,0,24
2A -704 A,0,0
2A -704 B,0,18
MERGED,0,18
2A -G01 A,0,0
2A -G01 B,23,24
MERGED,23,24
2A -G02 A,11,24
2A -G02 B,23,24
MERGED,11,24
2A -G03 A,0,17
2A -G03 B,0,0
MERGED,0,17
2A -G04 A,0,17
2A -G04 B,0,0
MERGED,0,17
2A -G05,3,17
MERGED,3,17
2A -G06,0,0
MERGED,0,0
2A -G07,0,0
MERGED,0,0
2A -G08,7,17
MERGED,7,17
2A -G09 A,0,18
2A -G09 B,0,0
MERGED,0,18
2A -G10 A,1,24
2A -G10 B,0,18
MERGED,0,24
2A -G11 A,0,0
2A -G11 B,3,18
MERGED,3,18
2A -LG01 A,0,0
2A -LG01 B,23,24
MERGED,23,24
2A -LG02 A,10,24
2A -LG02 B,23,24
MERGED,10,24
2A -LG03,3,14
MERGED,3,14
2A -LG04,10,14
MERGED,10,14
