APARTMENT,T9_00,T9_15,9.30,9.45,10.00,10.15,10.30,10.45,11.00,11.15,11.30,11.45,12.00,12.15,12.30,12.45,1.00,1.15,1.30,1.45,2.00,2.15,2.30,2.45,3.00,15min INTERVALS,Column1
2A -101 A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2A -101 B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,27,1,
MERGED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,27,1,1
2A -102 A,0,0,0,0,0,0,0,0,0,0,2,4,6,9,13,17,24,29,35,39,47,29,53,59,63,15,
2A -102 B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,27,1,
MERGED,0,0,0,0,0,0,0,0,0,0,2,4,6,9,13,17,24,29,35,39,47,29,53,59,63,15,15
2A -103 A,70,76,79,82,85,85,88,88,91,94,94,97,97,97,97,97,100,100,100,53,0,0,0,0,0,19,
2A -103 B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MERGED,70,76,79,82,85,85,88,88,91,94,94,97,97,97,97,97,100,100,100,53,0,0,0,0,0,19,19
2A -104 A,62,67,70,73,76,82,85,85,88,88,91,91,91,94,94,94,94,97,97,53,0,0,0,0,0,19,
2A -104 B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MERGED,62,67,70,73,76,82,85,85,88,88,91,91,91,94,94,94,94,97,97,53,0,0,0,0,0,19,19
2A -105,0,0,0,0,2,7,13,19,23,27,33,37,41,43,47,49,52,54,56,32,0,0,0,0,0,15,
MERGED,0,0,0,0,2,7,13,19,23,27,33,37,41,43,47,49,52,54,56,32,0,0,0,0,0,15,15
2A -106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MERGED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2A -107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MERGED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2A -108,0,0,0,0,0,0,0,1,3,5,8,12,19,24,28,33,38,41,44,34,0,0,0,0,0,12,
MERGED,0,0,0,0,0,0,0,1,3,5,8,12,19,24,28,33,38,41,44,34,0,0,0,0,0,12,12
2A -109 A,57,63,66,71,74,76,79,79,82,82,85,88,88,91,91,91,91,94,94,50,0,0,0,0,0,19,
2A -109 B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MERGED,57,63,66,71,74,76,79,79,82,82,85,88,88,91,91,91,91,94,94,50,0,0,0,0,0,19,19
2A -110 A,65,71,74,76,82,82,85,85,88,88,88,91,91,91,94,94,97,97,97,97,97,60,0,0,0,21,
2A -110 B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MERGED,65,71,74,76,82,82,85,85,88,88,88,91,91,91,94,94,97,97,97,97,97,60,0,0,0,21,21
2A -111 A,0,6,13,18,23,23,23,22,21,19,19,19,19,22,22,23,29,31,34,39,44,47,52,51,56,23,
2A -111 B,97,94,94,94,94,94,94,88,88,88,85,82,79,79,74,68,61,49,32,0,0,0,0,0,0,18,
MERGED,97,94,94,94,94,94,94,88,88,88,85,82,79,79,74,68,61,49,34,39,44,47,52,51,56,24,24
2A -112 A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2A -112 B,0,0,4,14,56,94,94,88,88,88,85,82,79,79,74,68,61,49,32,0,0,0,0,0,0,16,
MERGED,0,0,4,14,56,94,94,88,88,88,85,82,79,79,74,68,61,49,32,0,0,0,0,0,0,16,16
2A -201 A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2A -201 B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,
MERGED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
2A -202 A,0,0,0,0,0,0,0,0,0,0,1,2,4,8,11,15,22,26,32,39,44,47,53,56,59,14,
2A -202 B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,
MERGED,0,0,0,0,0,0,0,0,0,0,1,2,4,8,11,15,22,26,32,39,44,47,53,56,59,14,14
2A -203 A,59,67,70,73,76,79,82,82,85,85,88,89,91,94,94,94,94,97,97,97,97,59,19,0,0,22,
2A -203 B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MERGED,59,67,70,73,76,79,82,82,85,85,88,89,91,94,94,94,94,97,97,97,97,59,19,0,0,22,22
2A -204 A,59,67,70,73,76,79,82,82,85,85,88,89,91,94,94,94,94,97,97,97,97,59,19,0,0,22,
2A -204 B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MERGED,59,67,70,73,76,79,82,82,85,85,88,89,91,94,94,94,94,97,97,97,97,59,19,0,0,22,22
2A -205,0,0,0,0,2,7,12,18,21,26,31,35,39,41,47,49,54,56,61,63,68,55,17,0,0,18,
MERGED,0,0,0,0,2,7,12,18,21,26,31,35,39,41,47,49,54,56,61,63,68,55,17,0,0,18,18
2A -206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MERGED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2A -207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MERGED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2A -208,0,0,0,0,0,0,0,1,4,8,12,16,21,26,31,36,41,44,47,50,53,53,19,0,0,15,
MERGED,0,0,0,0,0,0,0,1,4,8,12,16,21,26,31,36,41,44,47,50,53,53,19,0,0,15,15
2A -209 A,70,76,79,82,85,85,88,88,91,94,94,97,97,97,97,97,100,100,100,100,100,94,31,0,0,22,
2A -209 B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MERGED,70,76,79,82,85,85,88,88,91,94,94,97,97,97,97,97,100,100,100,100,100,94,31,0,0,22,22
2A -210 A,70,76,79,82,85,85,88,88,91,94,94,97,97,97,97,97,100,100,100,100,100,100,100,41,0,23,
2A -210 B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MERGED,70,76,79,82,85,85,88,88,91,94,94,97,97,97,97,97,100,100,100,100,100,100,100,41,0,23,23
2A -211 A,0,7,14,19,24,25,25,25,25,23,23,25,25,27,27,27,33,35,38,41,47,50,52,54,59,23,
2A -211 B,100,97,97,97,97,97,97,94,94,91,88,88,85,85,82,76,67,59,42,0,0,0,0,0,0,18,
MERGED,100,97,97,97,97,97,97,94,94,91,88,88,85,85,82,76,67,59,42,41,47,50,52,54,59,24,24
2A -212 A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2A -212 B,0,4,33,50,94,97,97,94,94,91,88,88,85,85,82,76,67,59,42,0,0,0,0,0,0,17,
MERGED,0,4,33,50,94,97,97,94,94,91,88,88,85,85,82,76,67,59,42,0,0,0,0,0,0,17,17
2A -301 A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2A -301 B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,27,1,
MERGED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,27,1,1
2A -302 A,0,0,0,0,0,0,0,0,0,0,3,7,10,15,18,22,28,32,35,41,47,50,53,59,63,15,
2A -302 B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,27,1,
MERGED,0,0,0,0,0,0,0,0,0,0,3,7,10,15,18,22,28,32,35,41,47,50,53,59,63,15,15
2A -303 A,70,76,79,82,82,88,88,91,91,91,91,94,94,94,94,94,97,97,97,97,97,97,100,100,63,24,
2A -303 B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,1,
MERGED,70,76,79,82,82,88,88,91,91,91,91,94,94,94,94,94,97,97,97,97,97,97,100,100,63,24,24
2A -304 A,70,76,79,82,85,85,88,88,91,94,94,97,97,97,97,97,100,100,100,100,100,100,100,100,59,24,
2A -304 B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,1,
MERGED,70,76,79,82,85,85,88,88,91,94,94,97,97,97,97,97,100,100,100,100,100,100,100,100,59,24,24
2A -305,0,0,0,0,2,7,13,19,23,27,33,37,41,43,47,49,52,54,56,58,63,60,65,64,42,20,
MERGED,0,0,0,0,2,7,13,19,23,27,33,37,41,43,47,49,52,54,56,58,63,60,65,64,42,20,20
2A -306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MERGED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2A -307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MERGED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2A -308,0,0,0,0,0,0,0,1,4,8,12,16,21,26,31,36,41,44,47,50,53,53,55,55,34,17,
MERGED,0,0,0,0,0,0,0,1,4,8,12,16,21,26,31,36,41,44,47,50,53,53,55,55,34,17,17
2A -309 A,63,70,73,76,79,82,85,85,88,88,91,91,91,94,94,97,97,100,100,100,100,100,100,84,41,24,
2A -309 B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,1,
MERGED,63,70,73,76,79,82,85,85,88,88,91,91,91,94,94,97,97,100,100,100,100,100,100,84,41,24,24
2A -310 A,59,67,70,73,76,79,82,82,85,85,88,89,91,94,94,94,94,97,97,97,97,97,97,97,65,24,
2A -310 B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,1,
MERGED,59,67,70,73,76,79,82,82,85,85,88,89,91,94,94,94,94,97,97,97,97,97,97,97,65,24,24
2A -311 A,0,6,13,18,23,23,23,22,21,19,19,19,19,22,22,23,29,31,34,39,44,47,52,51,56,23,
2A -311 B,94,94,94,94,94,91,91,91,85,85,82,82,79,74,71,63,55,41,20,0,0,0,0,0,0,18,
MERGED,94,94,94,94,94,91,91,91,85,85,82,82,79,74,71,63,55,41,34,39,44,47,52,51,56,24,24
2A -312 A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2A -312 B,0,4,28,57,91,91,91,91,85,85,82,82,79,74,71,63,55,41,20,0,0,0,0,0,0,17,
MERGED,0,4,28,57,91,91,91,91,85,85,82,82,79,74,71,63,55,41,20,0,0,0,0,0,0,17,17
2A -401 A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2A -401 B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,
MERGED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
2A -402 A,0,0,0,0,0,0,0,0,0,0,3,7,10,15,18,22,28,32,35,41,47,50,53,59,63,15,
2A -402 B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,
MERGED,0,0,0,0,0,0,0,0,0,0,3,7,10,15,18,22,28,32,35,41,47,50,53,59,63,15,15
2A -403 A,73,79,82,85,85,88,88,91,91,91,91,94,94,94,94,97,100,100,100,100,100,100,100,100,100,24,
2A -403 B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,29,1,
